system_id,system_name,system_class_code,system_class,organization_code,organization,system_field_code,system_field,architecture_code,architecture,reduction_code,reduction,pf_code,pf,year
A000014,内閣官房システム１,030,情報処理システム,G1,内閣官房,700,その他,700,その他,001,非該当,001,非該当,2013
A000025,内閣官房システム２,030,情報処理システム,G1,内閣官房,,,,,001,非該当,001,非該当,2013
A000047,「環境モデル都市」構想ホームページ作成用パソコン,030,情報処理システム,G1,内閣官房,020,情報提供系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000058,「環境未来都市」構想ホームページ,030,情報処理システム,G1,内閣官房,020,情報提供系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000069,マイ・ポータルシステム,030,情報処理システム,G1,内閣官房,030,受付記録系システム,700,その他,002,新規整備,002,全部移行,2013
A000069,マイ・ポータルシステム,030,情報処理システム,G1,内閣官房,020,情報提供系システム,700,その他,002,新規整備,002,全部移行,2013
A000070,情報提供ネットワークシステム,030,情報処理システム,G1,内閣官房,030,受付記録系システム,700,その他,002,新規整備,002,全部移行,2013
A000070,情報提供ネットワークシステム,030,情報処理システム,G1,内閣官房,070,監視系システム,050,共通システム基盤利用型,002,新規整備,002,全部移行,2013
A000070,情報提供ネットワークシステム,030,情報処理システム,G1,内閣官房,030,受付記録系システム,050,共通システム基盤利用型,002,新規整備,002,全部移行,2013
A000070,情報提供ネットワークシステム,030,情報処理システム,G1,内閣官房,070,監視系システム,700,その他,002,新規整備,002,全部移行,2013
A000070,情報提供ネットワークシステム,030,情報処理システム,G1,内閣官房,020,情報提供系システム,050,共通システム基盤利用型,002,新規整備,002,全部移行,2013
A000070,情報提供ネットワークシステム,030,情報処理システム,G1,内閣官房,020,情報提供系システム,700,その他,002,新規整備,002,全部移行,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,020,情報提供系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,110,その他業務系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,030,受付記録系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,110,その他業務系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,020,情報提供系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,040,蓄積検索系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,040,蓄積検索系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,110,その他業務系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,040,蓄積検索系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,030,受付記録系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,020,情報提供系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000117,情報セキュリティ対策業務支援システム,030,情報処理システム,G1,内閣官房,030,受付記録系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,001,非該当,001,非該当,2013
A000128,GSOCシステム,030,情報処理システム,G1,内閣官房,,,,,001,非該当,001,非該当,2013
A000139,首相官邸ホームページシステム（現行）,030,情報処理システム,G1,内閣官房,020,情報提供系システム,030,Webサーバ型,003,統合廃止,001,非該当,2013
A000139,首相官邸ホームページシステム（現行）,030,情報処理システム,G1,内閣官房,020,情報提供系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000140,内閣メールマガジン新システム,030,情報処理システム,G1,内閣官房,020,情報提供系システム,030,Webサーバ型,003,統合廃止,001,非該当,2013
A000195,内閣衛星情報センターOA-LANシステム,010,府省内ＬＡＮ,G1,内閣官房,,,,,001,非該当,001,非該当,2013
A000210,法令審査支援システム,030,情報処理システム,H1,内閣法制局,040,蓄積検索系システム,030,Webサーバ型,001,非該当,002,全部移行,2013
A000221,内閣法制局LANシステム,010,府省内ＬＡＮ,H1,内閣法制局,010,内部管理業務系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,001,非該当,001,非該当,2013
A000232,人事院ホームページ,030,情報処理システム,F1,人事院,020,情報提供系システム,040,外部サービス利用型,004,吸収統合,002,全部移行,2013
A000243,人事院ネットワーク,010,府省内ＬＡＮ,F1,人事院,,,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,001,非該当,001,非該当,2013
A000254,行政文書開示請求電子申請システム,030,情報処理システム,F1,人事院,030,受付記録系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000265,人事・給与業務関係情報システム,030,情報処理システム,F1,人事院,010,内部管理業務系システム,050,共通システム基盤利用型,001,非該当,002,全部移行,2013
A000265,人事・給与業務関係情報システム,030,情報処理システム,F1,人事院,010,内部管理業務系システム,030,Webサーバ型,001,非該当,002,全部移行,2013
A000276,意向届オンラインシステム,030,情報処理システム,F1,人事院,030,受付記録系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000287,国家公務員経験者採用管理システムサービス,030,情報処理システム,F1,人事院,020,情報提供系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000298,メールマガジン配信・管理システム,030,情報処理システム,F1,人事院,020,情報提供系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000302,インターネットによる受験申込みシステム,030,情報処理システム,F1,人事院,030,受付記録系システム,030,Webサーバ型,004,吸収統合,001,非該当,2013
A000302,インターネットによる受験申込みシステム,030,情報処理システム,F1,人事院,030,受付記録系システム,040,外部サービス利用型,004,吸収統合,001,非該当,2013
A000313,国家公務員採用試験合格発表サーバー,030,情報処理システム,F1,人事院,020,情報提供系システム,030,Webサーバ型,003,統合廃止,001,非該当,2013
A000313,国家公務員採用試験合格発表サーバー,030,情報処理システム,F1,人事院,020,情報提供系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000324,短期・長期在外研修員へ情報提供サーバー,030,情報処理システム,F1,人事院,020,情報提供系システム,040,外部サービス利用型,006,単純廃止,001,非該当,2013
A000335,国家公務員生涯設計総合情報提供システム,030,情報処理システム,F1,人事院,020,情報提供系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000346,苦情相談システム（苦情相談データベースシステム）,030,情報処理システム,F1,人事院,030,受付記録系システム,030,Webサーバ型,001,非該当,002,全部移行,2013
A000346,苦情相談システム（苦情相談データベースシステム）,030,情報処理システム,F1,人事院,040,蓄積検索系システム,030,Webサーバ型,001,非該当,002,全部移行,2013
A000357,苦情相談システム（メール相談システム）,030,情報処理システム,F1,人事院,030,受付記録系システム,040,外部サービス利用型,003,統合廃止,001,非該当,2013
A000368,港湾WAN通信ネットワークシステム,020,通信ネットワークシステム,S1,国土交通省,,,,,008,縮小改善,001,非該当,2013
A000380,予算執行管理システム,030,情報処理システム,J1,内閣府,010,内部管理業務系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,003,統合廃止,001,非該当,2013
A000391,内閣府電子入札開札システム,030,情報処理システム,J1,内閣府,010,内部管理業務系システム,030,Webサーバ型,003,統合廃止,001,非該当,2013
A000405,出退情報表示システム,030,情報処理システム,J1,内閣府,010,内部管理業務系システム,030,Webサーバ型,003,統合廃止,001,非該当,2013
A000438,行政総合事務システム（給与編）,030,情報処理システム,J1,内閣府,010,内部管理業務系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,003,統合廃止,001,非該当,2013
A000450,内閣府LAN（共通システム）,010,府省内ＬＡＮ,J1,内閣府,,,,,001,非該当,001,非該当,2013
A000472,政府広報ウェブサイト,030,情報処理システム,J1,内閣府,020,情報提供系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000483,NPO情報管理・公開システム,030,情報処理システム,J1,内閣府,040,蓄積検索系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000483,NPO情報管理・公開システム,030,情報処理システム,J1,内閣府,020,情報提供系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000483,NPO情報管理・公開システム,030,情報処理システム,J1,内閣府,020,情報提供系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000483,NPO情報管理・公開システム,030,情報処理システム,J1,内閣府,040,蓄積検索系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000494,景気ウォッチャー調査webシステム,030,情報処理システム,J1,内閣府,050,計算分析系システム,040,外部サービス利用型,001,非該当,001,非該当,2013
A000519,中央防災無線ＷＥＢ,030,情報処理システム,J1,内閣府,020,情報提供系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000520,総合防災情報システム,030,情報処理システム,J1,内閣府,060,観測解析系システム,020,クライアントサーバ型（Ｗｅｂサーバ型を除く。）,001,非該当,001,非該当,2013
A000520,総合防災情報システム,030,情報処理システム,J1,内閣府,060,観測解析系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000531,栄典事務効率化システム,030,情報処理システム,J1,内閣府,040,蓄積検索系システム,030,Webサーバ型,001,非該当,001,非該当,2013
A000553,沖縄戦関係資料閲覧室ホームページ,030,情報処理システム,J1,内閣府,020,情報提供系システム,030,Webサーバ型,003,統合廃止,001,非該当,2013
